sample_name,input_id,input_value,input_type,md5
hg38-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz.tbi,files,e924bba7bb127725fdb7e882dde6109e
hg38-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/homo_sapiens/Homo_sapiens.GRCh38.97.gtf.gz,files,5e4f0ac300d3b8f4c8126e78bffe33ec
hg38-ensembl_rb,gff,ftp://ftp.ensembl.org/pub/release-97/regulation/homo_sapiens/homo_sapiens.GRCh38.Regulatory_Build.regulatory_features.20190329.gff.gz,files,116b3d18098523bf523c61e10a46d9df
hg38-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,files,a08035b6a6e31780e96a34008ff21bd6
hg38-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,files,b99e0ed778d922c87cd5ab70dfecd544
hg38-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_29/gencode.v29.primary_assembly.annotation.gtf.gz,files,1e3a8b97e363f2dac1b3dc656a723c04
hg38-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg38/database/refGene.txt.gz,files,9de1763005a6053826790305ba4cb4b0
hs38d1-fasta,fasta,http://big.databio.org/refgenomes/hs38d1.fa.gz,files,6edb27808eb28092683b65cb2e64add5
human_alphasat-fasta,fasta,http://big.databio.org/refgenomes/human_alphasat.fa.gz,files,fcec65b30499d3d3279cf95f3e24e0aa
human_alu-fasta,fasta,http://big.databio.org/refgenomes/human_alu.fa.gz,files,c028581ef5f8941478692a1afed6d15b
human_rDNA-fasta,fasta,http://big.databio.org/refgenomes/human_rDNA.fa.gz,files,4e36821df47489ee3ffcfbbbf3cd92a9
human_repeats-fasta,fasta,http://big.databio.org/refgenomes/human_repeats.fa.gz,files,743cc54bd19df758eabed3623a12dc3a
mm10_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,files,5414320f79c131c1f83b079a9a8370b1
mm10_primary-fasta,fasta,http://big.databio.org/refgenomes/mm10_primary.fa.gz,files,fff6a14291bb854d03ece420ecfe4958
mm10-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/mus_musculus/Mus_musculus.GRCm38.97.gtf.gz,files,cdd0966013df924694ca31a78bbeef82
mm10-ensembl_rb,gff,ftp://ftp.ensembl.org/pub/release-97/regulation/mus_musculus/mus_musculus.GRCm38.Regulatory_Build.regulatory_features.20180516.gff.gz,files,aab11a1a4eb55ed25aca01ca63839836
mm10-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.5_GRCm38.p3/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001635.5_GRCm38.p3_no_alt_analysis_set.fna.gz,files,044703b3196ec8909c910ff52b3a407f
mm10-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,files,5414320f79c131c1f83b079a9a8370b1
mm10-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_mouse/release_M22/gencode.vM22.annotation.gtf.gz,files,6a90b71512ccbd04b767e158a736c413
mm10-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/mm10/database/refGene.txt.gz,files,af857d9ae8c55da826391ac8ff41b3c2
mm39_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-104/fasta/mus_musculus/cdna/Mus_musculus.GRCm39.cdna.all.fa.gz,files,07cfae271e9d3e8572de453933e5be3e
mm39-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-104/gtf/mus_musculus/Mus_musculus.GRCm39.104.gtf.gz,files,f414c99922bd29e350d4b5b85c7ffef4
mm39-ensembl_rb,gff,ftp://ftp.ensembl.org/pub/release-104/regulation/mus_musculus/mus_musculus.GRCm39.Regulatory_Build.regulatory_features.20201021.gff.gz,files,cd5760f9a19fb0e0832100502e6b4cb1
mm39-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.9_GRCm39/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001635.9_GRCm39_full_analysis_set.fna.gz,files,78eb6069dc1cb7be6cd10a11aa67320e
mm39-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-104/fasta/mus_musculus/cdna/Mus_musculus.GRCm39.cdna.all.fa.gz,files,07cfae271e9d3e8572de453933e5be3e
mm39-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_mouse/release_M27/gencode.vM27.annotation.gtf.gz,files,794eb8d273987a094dcc013afa2a1956
mm39-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/mm39/database/refGene.txt.gz,files,9a8093461e38952377def2bc0aea1f4a
mouse_chrM2x-fasta,fasta,http://big.databio.org/refgenomes/mouse_chrM2x.fa.gz,files,1d9c5d062144877babcedade63c18f48
rCRSd-fasta,fasta,http://big.databio.org/refgenomes/rCRSd.fa.gz,files,588ae4d05a1edf683433da78fd5d71bf
rn6_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,files,49422984447dee3fca93c970f58ee09b
rn6-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_6.0.97.gtf.gz,files,a0a9bfc897597331cada0f35198c062c
rn6-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0/GCA_000001895.4_Rnor_6.0_genomic.fna.gz,files,b999f2e4c3b90d46c19d37149484971b
rn6-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,files,49422984447dee3fca93c970f58ee09b
rn6-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/rn6/database/refGene.txt.gz,files,9763ea1fffeeb8603951c67b198fb0aa
dm6-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-89/gtf/drosophila_melanogaster/Drosophila_melanogaster.BDGP6.89.gtf.gz,files,7b443a8475980e09c4c190ce958a7b9a
dm6-gencode_gtf,gencode_gtf,ftp://ftp.flybase.net/../genomes/Drosophila_melanogaster/dmel_r6.34_FB2020_03/gtf/dmel-all-r6.34.gtf.gz,files,671102dba0e821891e20c4c29ed8359e
dm6-refgene_anno,refgene,http://hgdownload.soe.ucsc.edu/goldenPath/dm6/database/refGene.txt.gz,files,ff0a971b846adf14d45d52f822a87042
mm10-suffixerator_index,memlimit,32GB,params,
mm39-suffixerator_index,memlimit,32GB,params,
hg18-suffixerator_index,memlimit,32GB,params,
hg19-suffixerator_index,memlimit,32GB,params,
hg38-suffixerator_index,memlimit,32GB,params,
hg38_noalt_decoy-suffixerator_index,memlimit,32GB,params,
rn6-suffixerator_index,memlimit,32GB,params,
t7-fasta,fasta,http://big.databio.org/refgenomes/t7.fa.gz,files,9d87b4924b17c031ea55895359a1e140
